"","gene","mlcalc","hypo","value"
"582","rps4","IQTree","Hypo 2",0.152783865186522
"584","rps4","IQTree","Hypo 4",0.152363917425791
"583","rps4","IQTree","Hypo 3",0.149390640045932
"226","petN","RAxML","Hypo 2",0.125292830334913
"227","petN","RAxML","Hypo 3",0.125292830334913
"228","petN","RAxML","Hypo 4",0.125292830334913
"225","petN","RAxML","Hypo 1",0.124999573332605
"26","atpE","RAxML","Hypo 2",0.117172749960617
"211","petG","RAxML","Hypo 3",0.114465074731699
"212","petG","RAxML","Hypo 4",0.114465074731699
"210","petG","RAxML","Hypo 2",0.114221072194816
"25","atpE","RAxML","Hypo 1",0.110505952432655
"545","rps18","RAxML","Hypo 1",0.0987645052193861
"510","rps11","IQTree","Hypo 2",0.0762853415364533
"511","rps11","IQTree","Hypo 3",0.0762853415364533
"512","rps11","IQTree","Hypo 4",0.0762853415364533
"549","rps18","IQTree","Hypo 1",0.0760376222668752
"9","atpA","RAxML","Hypo 1",0.0645505486679496
"576","rps3","IQTree","Hypo 4",0.0623976952167861
"575","rps3","IQTree","Hypo 3",0.062292425386515
"209","petG","RAxML","Hypo 1",0.0592705660509498
"522","rps14","RAxML","Hypo 2",0.0566767442019505
"294","psbC","IQTree","Hypo 2",0.0527410023921932
"310","psbE","IQTree","Hypo 2",0.0509972730774238
"581","rps4","IQTree","Hypo 1",0.0486830566008339
"250","psaC","RAxML","Hypo 2",0.0444822784796407
"577","rps4","RAxML","Hypo 1",0.0416513641233193
"307","psbE","RAxML","Hypo 3",0.0415120865933445
"308","psbE","RAxML","Hypo 4",0.040707738821998
"515","rps12","RAxML","Hypo 3",0.0384515747401846
"516","rps12","RAxML","Hypo 4",0.0384515747401846
"514","rps12","RAxML","Hypo 2",0.0384400277488627
"513","rps12","RAxML","Hypo 1",0.0383938762478254
"441","rpl23","RAxML","Hypo 1",0.0377301948046919
"551","rps18","IQTree","Hypo 3",0.0342980427041155
"565","rps2","IQTree","Hypo 1",0.0336528334616864
"566","rps2","IQTree","Hypo 2",0.0334484140132234
"249","psaC","RAxML","Hypo 1",0.0319836854244994
"491","rpoC1","RAxML","Hypo 3",0.0300993477045846
"492","rpoC1","RAxML","Hypo 4",0.0300993477045846
"91","matK","RAxML","Hypo 3",0.0299067439440226
"92","matK","RAxML","Hypo 4",0.0299067439440226
"326","psbH","IQTree","Hypo 2",0.0246818340755571
"327","psbH","IQTree","Hypo 3",0.0246818340755571
"328","psbH","IQTree","Hypo 4",0.0246818340755571
"442","rpl23","RAxML","Hypo 2",0.0241464973305308
"443","rpl23","RAxML","Hypo 3",0.0241464973305308
"444","rpl23","RAxML","Hypo 4",0.0241464973305308
"507","rps11","RAxML","Hypo 3",0.0241008990150437
"508","rps11","RAxML","Hypo 4",0.0241008990150437
"445","rpl23","IQTree","Hypo 1",0.0239619142251477
"446","rpl23","IQTree","Hypo 2",0.0239619142251477
"447","rpl23","IQTree","Hypo 3",0.0239619142251477
"448","rpl23","IQTree","Hypo 4",0.0239619142251477
"506","rps11","RAxML","Hypo 2",0.023789913829184
"505","rps11","RAxML","Hypo 1",0.0236101673013979
"87","concatenated_125spp","IQTree","Hypo 3",0.0210716238893288
"88","concatenated_125spp","IQTree","Hypo 4",0.0210716238893288
"23","atpB","IQTree","Hypo 3",0.0207202541811951
