gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,CONSEL_hypo1,IQTree_hypo1,IQTree2_hypo1,CONSEL_hypo2,IQTree_hypo2,IQTree2_hypo2,CONSEL_hypo3,IQTree_hypo3,IQTree2_hypo3,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
rpl23,0.161,0.128,0.132,0.161,0.128,0.132,0.161,0.128,0.132,0.161,0.128,0.132,2.031,0.967,0.954
petG,0.091,0.11,0.097,0.091,0.11,0.097,0.091,0.11,0.097,0.091,0.11,0.097,0.788,0.541,0.575
ycf3,0.028,0.034,0.03,0.018,0.0338,0.03,0.028,0.0338,6.31e-10,0.028,0.0338,1.5e-06,8.07,35.135,39.482
atpE,0.36,0.335,0.329,0.378,0.402,0.396,0.378,0.402,0.396,0.378,0.402,0.396,2.794,3.722,3.955
psaB,0.032,0.0409,0.0339,0.032,0.0407,0.0334,0.032,0.0397,0.034,0.032,0.0404,0.0335,10.56,24.749,23.673
psbN,0.017,0.0189,0.0177,0.017,0.0193,0.0178,0.017,0.0128,0.018,0.017,0.0195,0.0178,0.87,0.487,0.591
psaJ,0.015,0.0435,0.0452,0.015,0.023,0.0452,0.046,0.0438,0.0452,0.046,0.0437,0.0452,0.882,0.788,0.89
rps4,0.254,0.171,0.188,2e-15,0.265,0.279,8e-41,0.257,0.262,8e-41,0.265,0.28,3.638,4.349,4.622
psbZ,8e-06,0.000121,0.000345,0.0002,0.000109,0.000292,0.0002,0.000112,0.000291,0.0002,4.32e-05,0.000329,1.082,1.565,1.708
rpl36,0.03,0.0322,0.0328,0.005,0.000135,0.0262,0.005,0.000135,0.0262,0.005,0.000106,0.0308,0.925,1.677,1.804
accD,0.1,0.114,0.108,0.1,0.117,0.107,0.03,0.0317,0.0362,0.03,0.0321,0.0362,5.903,22.348,20.871
atpF,0.086,0.0921,0.085,0.126,0.134,0.132,0.126,0.134,0.132,0.126,0.134,0.132,8.421,15.917,14.245
ndhK,0.06,0.0596,0.0556,0.06,0.0584,0.0368,0.06,0.0584,0.0549,0.06,0.0584,0.0549,3.721,4.138,4.185
psbB,0.023,0.0425,0.0387,0.023,0.0337,0.0475,0.023,0.0341,0.0478,0.023,0.0341,0.0475,6.286,18.224,22.307
petA,0.002,0.00226,0.00389,0.037,0.0385,0.041,0.124,0.126,0.126,0.124,0.126,0.126,6.323,12.853,14.618
petN,0.423,0.416,0.433,0.423,0.416,0.433,0.423,0.416,0.433,0.423,0.416,0.433,0.868,0.437,0.579
psbF,0.02,0.0188,0.0177,0.02,0.0191,0.0181,0.02,0.0191,0.0181,0.02,0.0191,0.0181,0.748,0.382,0.387
rpl16,0.012,0.0115,0.011,0.139,0.141,0.145,0.139,0.141,0.145,0.139,0.141,0.145,6.194,26.452,29.055
