"","gene","mlcalc","hypo","value"
"370","rpoC2","IQTree","codon-aligned",0.00848528137423858
"127","ndhK","RAxML","codon-aligned",0.00805563984630231
"147","petD","RAxML","gene",0.00707766439818485
"131","ndhK","IQTree","exon",0.00685954323066291
"177","psaB","RAxML","gene",0.00629391240273753
"391","rps15","RAxML","codon-aligned",0.0060044427995721
"450","ycf1","IQTree","gene",0.00579770069366585
"422","rps3","RAxML","exon",0.00571430952375992
"407","rps18","IQTree","exon",0.00563697933294065
"210","psbB","IQTree","gene",0.00548573908724552
"54","cemA","IQTree","gene",0.00523259018078044
"356","rpoB","RAxML","exon",0.0051432804058629
"198","psaJ","IQTree","gene",0.00504209969490225
"425","rps3","IQTree","exon",0.00502924779001128
"175","psaB","RAxML","codon-aligned",0.00496923870762246
"461","ycf3","IQTree","exon",0.00491663841799794
"309","rpl2","RAxML","gene",0.00470204210955197
"368","rpoC2","RAxML","exon",0.00463609030685698
"150","petD","IQTree","gene",0.00461446999484592
"415","rps2","RAxML","codon-aligned",0.00456790980646509
"179","psaB","IQTree","exon",0.00454312667664023
"457","ycf3","RAxML","codon-aligned",0.0045254833995939
"449","ycf1","IQTree","exon",0.0042
"421","rps3","RAxML","codon-aligned",0.00413279566395436
"255","psbK","RAxML","gene",0.00411015003781289
"178","psaB","IQTree","codon-aligned",0.00391279950930277
"311","rpl2","IQTree","exon",0.00390042732701602
"406","rps18","IQTree","codon-aligned",0.0038795016862135
"174","psaA","IQTree","gene",0.00385746030439717
"235","psbH","RAxML","codon-aligned",0.00380175398116887
"405","rps18","RAxML","gene",0.00374288658657994
"176","psaB","RAxML","exon",0.00372200662725544
"402","rps16","IQTree","gene",0.00361264446077939
"129","ndhK","RAxML","gene",0.00355715241918779
"208","psbB","IQTree","codon-aligned",0.00355527776692624
"310","rpl2","IQTree","codon-aligned",0.00352325606979302
"46","ccsA","IQTree","codon-aligned",0.00349475797922164
"458","ycf3","RAxML","exon",0.00348711915483253
"108","ndhG","IQTree","gene",0.0034527863144616
"76","ndhB","IQTree","codon-aligned",0.00335168614282424
"454","ycf2","IQTree","codon-aligned",0.00330925973595304
"205","psbB","RAxML","codon-aligned",0.00325166623953526
"236","psbH","RAxML","exon",0.00319205263114504
"12","atpA","IQTree","gene",0.00318686889177031
"52","cemA","IQTree","codon-aligned",0.0031749015732775
"372","rpoC2","IQTree","gene",0.00310698138606162
"23","atpE","IQTree","exon",0.00310309522896092
"74","ndhB","RAxML","exon",0.00310116107288866
"426","rps3","IQTree","gene",0.00307896086366815
"10","atpA","IQTree","codon-aligned",0.00302971945895986
"3","accD","RAxML","gene",0.00300222139978606
"200","psbA","RAxML","exon",0.00297525349060098
"111","ndhH","RAxML","gene",0.002958468072049
"130","ndhK","IQTree","codon-aligned",0.00292802550079969
"203","psbA","IQTree","exon",0.00291926931497136
"206","psbB","RAxML","exon",0.00291433239925259
"29","atpF","IQTree","exon",0.00289615837504328
"451","ycf2","RAxML","codon-aligned",0.00288499566724111
"399","rps16","RAxML","gene",0.00285028653530366
"362","rpoC1","RAxML","exon",0.00283078316607494
"114","ndhH","IQTree","gene",0.00282580961849874
"365","rpoC1","IQTree","exon",0.00280950766742739
